,name,id
0,108221-10193841|108290-10193841|255389-10199623|108290-10200452|144732-10203008|255389-10202449|108221-10197027|255389-10194165|108290-10203295|255389-10193841|144732-10202694|108290-10195045|108290-10197027|108290-10203056|255389-10203056|108290-10199623|108290-10203008|144732-10195021|144732-10198179|144732-10198181|144732-10201968|144732-10377726|144732-10328772,1
1,108221-10194165|255386-10200791|144732-10200791|144732-10199712|108221-10202449|144732-10195045|255386-10202449|255386-10195045|108290-10194399|144732-10193841|144732-10199623|108290-10202449|144732-10200452|255386-10275149|108290-10194165|144732-10297121|255386-10203295|255386-10197027|255386-10200452|255386-10199623|144732-10194165|144732-10203295|255386-10202694|108221-10202694|108290-10199712|144732-10275149,2
2,108221-10194399|255386-10203008|255389-10203295|108221-10199623|255389-10195045|255389-10199712|108221-10200791|255389-10203008|255386-10203056|108221-10195045|108290-10200791|144732-10203056|255386-10194165|255389-10197027|108221-10203295|255389-10200452|108221-10275149|255389-10200791|108221-10203008|108221-10297121|255386-10199712|108221-10199712|108290-10297121|255386-10297121|255389-10275149|255389-10194399|108221-10202693|108221-10203056|108290-10275149|144732-10197027|108354-10202693|108221-10195021|243038-10199988,3
3,108221-10194849|108221-10304712|108221-10200452|255386-10193841|243038-10198182,4
4,108221-10196465|243038-10196465|255386-10307669|255389-10367469|108568-10196465|108568-10203295|108568-10367469|108568-10377726|108568-10304712|255389-10199988,5
5,108221-10198179|108568-10194849|255386-10194399|108568-10198182|108221-10198181|108221-10328772|108290-10336881,6
6,108221-10198182|108221-10201968|108568-10197027|144732-10202693,7
7,108221-10199988|144732-10336881|144732-10428062,8
8,108221-10202452|108221-10377726|243038-10307669|144732-10307669|144732-10194849|243038-10377726|243038-10395872|243038-10202452|108568-10395872|108221-10307669|144732-10194399|243038-10195021|255389-10297121|243038-10198179,9
9,108221-10367469|108568-10198181|243038-10201968|144732-10395872|243038-10367469|255386-10194511|108260-10202693,10
10,108221-10395872|108568-10199623|255386-10323903|255389-10202694,11
11,108221-10428062|243038-10428062|255389-10194849|255389-10304712|255386-10198181|144732-10408882|255386-10198179,13
12,108260-10202694|108354-10408882|255389-10323903|255386-10428062|255389-10336881|255386-10196465|255386-10199988|255386-10201968|255389-10198182|255386-10328772|255389-10196465,14
13,108290-10194511|255386-10395872|108354-10193841|108354-10194165|108354-10200452|255386-10331233|108568-10203056|108354-10199623|108354-10200791|108568-10195045|108354-10195045|255389-10328772|255389-10331233|108354-10197027|255386-10266310|108354-10203008|108354-10297121|108354-10199712|108354-10203295|108568-10202694|108568-10198179|255386-10336881|108354-10203056|255389-10194511|255386-10198182|255389-10201968|108568-10203008|108354-10194399|108354-10275149|108354-10202449|255389-10266310,15
14,108290-10202693|108568-10202693|108290-10408882|255386-10408882,16
15,108290-10266310|108290-10331233|108290-10323903,18
16,108568-10195021|144732-10331233|255386-10367469|108568-10275149|108568-10307669|144732-10194511|255386-10377726|255389-10195021,19
17,108568-10199712|255386-10195021|255386-10194849|255386-10304712|255389-10202452|255386-10202452,20
18,108568-10199988|108568-10201968|108568-10328772|108568-10202452,21
19,108568-10428062|144732-10323903|243038-10194849|243038-10304712,23
20,144732-10196465|144732-10304712|144732-10202452|144732-10367469,24
21,144732-10198182|144732-10199988,25
22,144732-10266310|255389-10198179|255389-10198181,27
23,243038-10198181|255389-10307669,28
